Page,Chapter,EnglishCommon,LatinSpecies,Length,SizeSpecifier,Voice,Comments
21,Waterbirds,Lesser White-Fronted Goose,Anser erythropus,55-65cm,length,Utters barking calls in flight.,
22,Waterbirds,Snow Goose,Anser caerulescens,65-75cm,length,"Utters a barking, honking ""whook"".",
23,Waterbirds,Cackling Goose,Branta hutchinsii,60-70cm,length,"Utters a honking ""hronk"".",
24,Waterbirds,Black Brant,Branta bernicla nigricans,56-61cm,length,"Utters a nasal, honking ""kruut"".",
25,Waterbirds,Red-Breasted Goose,Branta ruficollis,55-60cm,length,"Utters a shrill, nasal ""kik-yuuk"".",
26,Waterbirds,Ruddy Shelduck,Tadorna ferruginea,61-67cm,length,"Utters a nasal, gargling, trilling, ""gyrrrrr"" and a sharp ""kyerr"".",
27,Waterbirds,Baikal Teal,Anas formosa,39-43cm,length,"Male utters a gulping ""kwerp"" call.",
28,Waterbirds,Green-Winged Teal,Anas carolinensis,34-38cm,length,Male utters a ringing whistle while female utters a soft quack.,
29,Waterbirds,Blue-Winged Teal,Anas discors,37-41cm,length,"Utters a squeaky trill, and a shrill ""kwit"".",
30,Waterbirds,American Wigeon,Anas americana,48-56cm,length,"Male utters a distinctive ""whee-ooo"" whistling call.",
31,Waterbirds,Black Duck,Anas rubripes,53-61cm,length,"Male utters whistles and nasal calls, while female utters quacking calls; both are similar to Mallard.",
32,Waterbirds,Red-Crested Pochard,Netta rufina,54-57cm,length,Mostly silent.,
33,Waterbirds,Canvasback,Aythya valisineria,49-56cm,length,Mostly silent.,
34,Waterbirds,Redhead,Aythya americana,44-51cm,length,Mostly silent.,
35,Waterbirds,Ferruginous Dck,Aythya nyroca,38-42cm,length,Mostly silent.,
36,Waterbirds,Ring-Necked Duck,Aythya collaris,37-46cm,length,Mostly silent.,
37,Waterbirds,Lesser Scaup,Aythya affinis,38-45cm,length,Mostly silent.,
38,Waterbirds,Harlequin Duck,Histrionicus histrionicus,38-45cm,length,Mostly silent.,
39,Waterbirds,King Eider,Somateria spectabilis,55-63cm,length,Male utters a purring sound.,
40,Waterbirds,Steller's Eider,Polysticta stelleri,42-48cm,length,Mostly silent.,
41,Waterbirds,Bufflehead,Bucephala albeola,32-39cm,length,Mostly silent.,
42,Waterbirds,Black Scoter,Melanitta americana,44-54cm,length,Mostly silent.,
43,Waterbirds,Surf Scoter,Melanitta perspicillata,45-46cm,length,Mostly silent.,
44,Waterbirds,Barrow's Goldeneye,Bucephala islandica,43-54cm,length,Mostly silent.,
45,Waterbirds,Hooded Merganser,Lophodytes cucullatus,42-50cm,length,Mostly silent.,
46,Gamebirds,Golden Pheasant,Chrysolophus pictus,male: 90-100cm; female: 60-80cm,length,"Territorial male utters a shrill, disyllabic, strangled ""ker-cheek"", sometimes repeating the 2nd syllable 3 or 4 times.",
47,Waterbirds,Lady Amherst's Pheasant,Chrysolophus amherstiae,male: 100-120cm; female: 60-80cm,length,"Male utters a shrieking song, typically at night.",
48,Divers,Pacific Diver,Gavia pacifica,60-70cm,length,Vagrants here are silent.,
49,Divers,White-Billed Diver,Gavia adamsii,77-80cm,length,Vagrants here are silent.,
52,Seabirds,Black-Browed Albatross,Thalassarche melanophris,200-235cm,wingspan,Vagrants here are silent.,
53,Seabirds,Fea's Petrel,Pterodroma feae,86-94cm,wingspan,Vagrants here are silent.,
53,Seabirds,Macaronesian Shearwater,Puffinus baroli,58-67cm,wingspan,Silent at sea.,
54,Seabirds,Sooty Shearwater,Puffinus griseus,95-105cm,wingspan,Silent at sea.,
55,Seabirds,Balearic Shearwater,Puffinus mauretanicus,80-90cm,wingspan,Silent at sea.,
56,Seabirds,Cory's Shearwater,Calonectris borealis,115-125cm,wingspan,Silent at sea.,
57,Seabirds,Great Shearwater,Puffinus gravis,105-120cm,wingspan,Silent at sea.,
58,Seabirds,Wilson's Storm-Petrel,Oceanites oceanicus,38-42cm,wingspan,Silent at sea.,
59,Seabirds,Band-Rumped Storm-Petrel Complex,Oceanodroma complex,43-46cm,wingspan,Silent at sea.,
60,Seabirds,Swinhoe's Storm-Petrel,Oceanodroma monorhis,45-48cm,wingspan,Silent at sea.,
60,Seabirds,Red-Billed Tropicbird,Paethon aethereus,100-115cm,wingspan,Silent at sea.,
61,Herons and Allies,American Bittern,Botaurus lentiginosus,60-70cm,length,Vagrants here are silent.,
62,Herons and Allies,Green Heron,Butorides virescens,46cm,length,"Utters a sharp ""skeeeok"" call in flight.",
63,Herons and Allies,Little Bittern,Ixobrychus minutus,35-38cm,length,"Call is a sharp ""kwekek"", usually uttered in flight. Song is a monotonous, gruff croak, uttered mostly at night.",
64,Herons and Allies,Night Heron,Nycticorax nycticorax,60-65cm,length,"Utters a barking ""quaak"" call in flight.",
65,Herons and Allies,Squacco Heron,Ardeola ralloides,45-47cm,length,"Utters a quacking ""kwaak"".",
66,Herons and Allies,Cattle Egret,Bubulcus ibis,48-52cm,length,"Utters a soft, croaking call in flight.",
67,Herons and Allies,Snowy Egret,Egretta thula,55-65cm,length,Mostly silent.,
68,Herons and Allies,Great White Egret,Ardea alba,85-100cm,length,Mostly silent.,
