Page,Section,EnglishCommon,LatinSpecies,Length,Voice
17,Swans,Mute Swan,Cygnus olor,125-155cm,"Mostly silent, but makes a loud hiss when angry and other snorting sounds. Loud throbbing ""waou waou"" noise made by wings in flight. Young birds make a high-pitched whistle."
18,Swans,Bewick's Swan,Cygnus columbianus,115-117cm,"Call is a soft, mellow, yelping ""oop, oop"", or ""hoo, hoo""."
19,Swans,Whooper Swan,Cygnus cygnus,145-160cm,Loud whooping or trumpeting call.
20,Geese,Bean Goose,Anser fabalis,66-84cm,"Not as noisy as other geese - gives an ""ung-ank"" or an ""ow, ow, ow, ow"" call."
21,Geese,Pink-footed Goose,Anser brachyrhynchus,60-75cm,"Call is higher pitched and less harsh than other geese - often an incessant and rather musical ""wink, wink""."
22,Geese,White-fronted Goose,Anser albifrons,65-78cm,Cackling calls that are higher pitched than Greylag and with a laughing sound to them.
23,Geese,Greylag Goose,Anser anser,75-90cm,Loud cackling and honking calls - can sound rather like sheep at a distance.
24,Geese,Canada Goose,Branta canadensis,56-110cm,"Deep, resonant, trumpet-like calls."
25,Geese,Barnacle Goose,Branta leucopsis,58-70cm,"Call is a single bark that is higher pitched than most other geese. Can resemble yapping of dogs, especially when heard from a distance."
26,Geese,Brent Goose,Branta bernicla,56-61cm,"The single ""waruk"" calls mix together in flocks to form a dog-like yelping or babbling that carries a long way, and the clamour grows louder as flocks take to the air."
27,Geese,Egyptian Goose,Alopochen aegyptiaca,63-73cm,"Generally it is silent, but the male and female have different distinctive calls. The call of the male is a husky wheezing call, and the female makes a high-pitched ""hur, hur, hur, hur""."
30,Ducks,Shelduck,Tadorna tadorna,58-67cm,"Male usually silent or makes sweet-sounding whistles. The voice of the female is lower, giving a growling ""ark-ark-ark"" call."
31,Ducks,Shoveler,Anas clypeata,44-52cm,"Generally rather quiet. Male has quiet ""took, took"" call as rival males chase each other. Female makes a soft quacking sound."
32,Ducks,Wigeon,Anas penelope,45-51cm,"Call of male is a far-carrying, musical, two-syllable whistle, ""wee-ooo"". Call of female is a rather harsh growl."
33,Ducks,Pintail,Anas acuta,51-65cm,"Generally less noisy than other ducks. Variety of calls similar to Mallard, but quieter. Male has a drawn-out ""greee"" and female has a series of deep quacks."
34,Ducks,Gadwall,Anas strepera,46-56cm,"Usually rather silent. Male has a deep, rasping croak, often given in flight. Call of female more like a higher-pitched version of a Mallard's ""quack""."
35,Ducks,Mallard,Anas platyrhynchos,50-65cm,"Calls of female are varied and include the familiar ""quack"" that is often repeated many times in quick succession. Call of male is a quieter, low, rasping ""crrrib""."
36,Ducks,Teal,Anas crecca,34-38cm,"Call of male is a piping, far-carrying whistle, ""prip-prip"". Female's call is a rapid, high-pitched quacking."
37,Ducks,Garganey,Anas querquedula,37-41cm,"Calls of male include a dry rattle and a burping sound used in display. Female has a quiet ""quack"" like a Teal."
40,Ducks,Mandarin,Aix galericulata,41-49cm,"Usually rather silent. Displaying males have a variety of calls including a soft whistle. Female has a soft croak, often given in flight."
41,Ducks,Pochard,Aythya ferina,42-49cm,"Usually silent except during courtship when male makes a soft, wheezing ""wiwwierr""."
42,Ducks,Scaup,Aythya marila,42-51cm,"Generally silent. Male has a soft, dove-like call during courtship and female has a low growl."
43,Ducks,Tufted Duck,Aythya fuligula,40-47cm,"Male generally silent, except for a low whistle during courtship. Female makes a harsh ""karr"", especially in flight."
44,Ducks,Eider,Somateria mollissima,50-71cm,"Silent for most of the year but male has a dove-like cooing call, ""ar-ooo"", when displaying."
45,Ducks,Long-tailed Duck,Clangula hyemalis,40-47cm,"Compared with other sea ducks the Long-tailed is quite noisy, with the yodelling calls of the males being made throughout the year and at any time of day or night. Female makes a low quacking."
46,Ducks,Common Scoter,Melanitta nigra,44-54cm,"Limited range of calls can be heard while birds are in flocks, especially during courtship, the most frequent being whistling and piping."
47,Ducks,Velvet Scoter,Melanitta fusca,51-58cm,"Generally rather quiet, but sometimes croaking or growling calls can be heard from flocks in winter."
48,Ducks,Goldeneye,Bucephala clangula,42-50cm,"Usually silent unless displaying. Loud ""zeee-ZEEE"" and quieter ""rrrrrrrr"" usually accompany displays of male."
49,Ducks,Smew,Mergus albellus,38-44cm,"Generally silent. The only calls are those associated with courtship or when alarmed. The most frequent calls have been variously described as creaking, grunting and rattling."
50,Ducks,Red-breasted Merganser,Mergus serrator,52-58cm,"Usually silent, but makes rough croaking or rasping sounds, especially when displaying and nesting. Usually silent at other times."
51,Ducks,Goosander,Mergus merganser,58-66cm,"Mostly silent. Some soft calls during courtship and occasional ""growls"" when disturbed."
52,Ducks,Ruddy duck,Oxyura jamaicensis,35-43cm,"Generally silent but during display there are non-vocal sounds associated with 'breast-beating' as well as various rattles, ticking noises and burps."
53,Partridges and grouse,Quail,Coturnix coturnix,16-18cm,"""Whip, whip-whip"" (said to sound like *Wet my lips*) is the most commonly heard call. It is repeated up to eight times at a burst. The call may be heard at any time of day or night in spring, but especially around dawn and dusk. Males also have a curious little growling noise - like a cat."
54,Partridges and grouse,Red Grouse,Lagopus lagopus,37-42cm,"Crowing call is a loud, gruff *go-back, back, back*. When disturbed will often make a sharp ""kwok, kok-ok, ok""."
55,Partridges and grouse,Ptarmigan,Lagopus mutus,34-36cm,"Call of female is a high-pitched cooing. Male has series of loud and rapid clicks. Call is a harsh croak and rasping noises, and its alarm is a grating sound."
56,Partridges and grouse,Black Grouse,Tetrao tetrix,40-55cm,"Mostly silent except around the lek. Male has loud pigeon-like ""cook-roo"". Female has loud crackle or ""kok, kok"" flight call."
57,Partridges and grouse,Capercaillie,Tetrao urogallus,60-87cm,"At the lek the males have an amazing song that is a series of double ""clicks"" and ends in a loud ""pop"", likened to a champagne cork coming out of the bottle!"
58,Partridges and grouse,Red-legged Partridge,Alectoris rufa,32-34cm,"Can be quite noisy, with the adults giving a loud chuffing ""chuck-chukka-chuff""."
59,Partridges and grouse,Grey Partridge,Perdix perdix,29-31cm,"Grating ""kerr-ick"" given during day and night and especially around dawn and dusk. ""Kip-ip-ip"" fight call if disturbed."
60,Pheasants,Pheasant,Phasianus colchicus,53-89cm,"Most usual crowing call is a far-carrying, resonant ""kor-ork, -ok, -ok"" often accompanied by energetic and noisy flapping of wings. This call is often heard at dusk and in response to sudden loud noises such as gunshots or thunder."
61,Pheasants,Golden Pheasant,Chrysolophus pictus,60-115cm,"This species is seldom heard except for a crowing call during the breeding season that is a loud and metallic ""chak"" or ""cha-chak""."
62,Divers,Black-throated Diver,Gavia arctica,58-73cm,"Mostly silent except on breeding grounds where it has a loud, drawn-out wail."
63,Divers,Great Northern Diver,Gavia immer,70-90cm,"It makes a variety of eerie yodelling calls in the breeding areas, but is mostly silent at other times."
64,Divers,Red-throated Diver,Gavia stellata,53-69cm,"Usually silent. At breeding sites it can be noisy, giving excited crescendo of calls like a high-pitched, wailing ""ya-roo, ya-roo, ya-roo""."
65,Grebes,Little Grebe,Tachybaptus ruficollis,25-29cm,"The most common call is a trilling, or whinny, that is used during courtship or territorial disputes. Sometimes given by a pair of birds as a duet."
66,Grebes,Great Crested Grebe,Podiceps cristatus,46-51cm,"Occasional growling ""gorr, gorr"", especially during courtship and when nesting."
