Page,Family,EnglishCommon,LatinSpecies,Length,Voice,Notes
14,"Ostrich, Emu, Cassowary",Ostrich,Struthio camelus,170cm-270cm,"usually silent. Males in breading season give booming sounds  --  distance an ""oo-oo-ooom"", at close range likened to roaring, not as deep as the Emu's booming",
14,"Ostrich, Emu, Cassowary",Emu,Dromaius novaehollandiae,150cm-200cm,"usually silent, occasional low-intensity booming when approaching a strange object. In breeding season, deep thudding booming and drumming by female. Male gives a low growl to communicate with newly hatched chicks.",
14,"Ostrich, Emu, Cassowary",Southern Cassowary,Casuarius casuarius,150cm-175cm,"deep, thudding resonant booming; abrupt rough grunts; hissing and roaring sounds when fighting",
16,"Mound Builders, Introduced Fowl",Malleefowl,Leipoa ocellata,55-60cm,"male has a deep, double noted, booming territorial call; female a high crowing. Also various clucks, softer chuckles and grunts.",
16,"Mound Builders, Introduced Fowl",Orange-footed Scrubfowl,Megapodius reinwardt,40-50cm,"noisy, calling both day and night, often many birds together  --  deep and powerful gurgling: ""ok-ok-owk-owwwk-owwwwk-ok-ok-ok-ok"", and various chuckles and screams.","pronounced phonetically, not like ""okay"""
16,"Mound Builders, Introduced Fowl",Australian Brush-turkey,Alectura lathami,60-70cm,"vibrating low grunts. Loud ""gyok-gyok"", probably only from male.",
16,"Mound Builders, Introduced Fowl",Wild Turkey,Meleagris gallapvo,90-125cm,"territorial call of male is a loud gobbling, audible from afar, usually given early in the breeding season. Also yelps, clucks, croaks, hisses.",
16,"Mound Builders, Introduced Fowl",Red Junglefowl,Gallus gallus,40-70cm,"various clucks and cackles; male's territorial crows are like the domestic rooster, at higher pitch; noisiest.",
16,"Mound Builders, Introduced Fowl",Common Pheasant,Phasianus colchicus,55-100cm,"loud, hoarse crowing, ""korr-orr-ok"", and many other noises including croakings, clucks and hisses.",
16,"Mound Builders, Introduced Fowl",Indian Peafowl,Pavo cristatus,male 200-230cm; female 80-100cm,"from male an extremely loud, carrying, raucous ""heirr-elp"" like a drawn out cry for ""help"".",
18,"California Quail, True Quail",California Quail,Callipepla californica,24-27cm,"contact call when regrouping; loud teritorial crowings in breeding season from males; many other calls from soft and plaintive to loud, staccato whistles. ",
