Page,Section,Family,EnglishCommon,LatinSpecies,Length,Voice,,
14,Geese,Anatidae,Greater White-fronted Goose,Anser albifrons,71cm,"Call is a high-pitched, laughing ""kah-lah-aluck""; calls of 'elgasi' described as hoarser and lower pitched than other ssp.",,
14,Geese,Anatidae,Tundra Bean-Goose,Anser serrirostris,71-84cm,Calls said to be higher pitched than Taiga Bean-Goose.,,
14,Geese,Anatidae,Taiga Bean-Goose,Anser fabalis,76-89cm,"Calls loud and deep, very different from Greater White-fronted.",,
16,Geese,Anatidae,Pink-footed Goose,Anser brachyrhynchus,66cm,NA,,
16,Geese,Anatidae,Snow Goose,Chen caerulescens,66-84cm,Gives single high-pitched calls.,,
16,Geese,Anatidae,Ross's Goose,Chen rossii,58cm,Calls are higher pitched and delivered more rapidly than Snow Goose.,,
18,Geese,Anatidae,Emperor Goose,Chen canagica,66cm,"Calls include a high-pitched, hoarse ""kla-ha"". Less vocal than other geese.",,
18,Geese,Anatidae,Barnacle Goose,Branta leucopsis,69cm,High-pitched cackling.,,
18,Geese,Anatidae,Brant,Branta bernicla,64cm,"Call is a low, rolling, slightly upslurred ""raunk-raunk"".",,
20,Geese,Anatidae,Egyptian Goose,Alopochen aegyptiacus,64-74cm,"Males give hissing calls, females harsh quacking or trumpeting.",,
20,Geese,Anatidae,Canada Goose,Branta canadensis,76-109cm,"Call is a deep, musical ""honk-a-lonk"".",,
20,Geese,Anatidae,Cackling Goose,Branta hutchnsii,58-84cm,"Calls of all ssp. are higher pitched than Canada Goose, some dramatically so; calls of 'hutchinsii' more similar to Canada Goose.",,
22,Swans,Anatidae,Tundra Swan,Cygnus columbianus,132cm,"Call is a noisy, high-pitched whooping or yodeling.",,
22,Swans,Anatidae,Trumpeter Swan,Cygnus buccinator,152cm,"Common call is a single or double ""honk"" like an old car horn.",,
22,Swans,Anatidae,Whooper Swan,Cygnus cygnus,152cm,Common call is a buglelike double note.,,
22,Swans,Anatidae,Mute Swan,Cygnus olor,152cm,"Gives a variety of hisses and snorts, but generally silent.",,
24,Ducks,Anatidae,Black-bellied Whistling-Duck,Dendrocygna autumnalis,53cm,"Call is a high-pitched, four-note whistle.",,
24,Ducks,Anatidae,Fulvous Whistling-Duck,Dendrocygna bicolor,51cm,"Call is a squealing ""pe-chee"".",,
24,Ducks,Anatidae,Wood Duck,Aix sponsa,47cm,"Male gives a soft, upslurred whistle when swimming; female's squealing flight call is a rising ""oo-eek"".",,
24,Ducks,Anatidae,Muscovy Duck,Cairina moschata,66-84cm,NA,,
26,Ducks,Anatidae,Mallard,Anas platyrhynchos,58cm,"Male, a ""quack"" and rasping ""kreep""; female, a series of ""quack"" notes.",,
26,Ducks,Anatidae,Mottled Duck,Anas fulvigula,56cm,Similar to Mallard.,,
26,Ducks,Anatidae,American Black Duck,Anas rubripes,58cm,Similar to Mallard.,,
28,Ducks,Anatidae,Eastern Spot-billed Duck,Anas zonorhyncha,56cm,NA,,
28,Ducks,Anatidae,Gadwall,Anas strepera,51cm,NA,,
28,Ducks,Anatidae,Falcated Duck,Anas falcata,48cm,NA,,
28,Ducks,Anatidae,Green-winged Teal,Anas crecca,37cm,"Male, a liquid ""preep"" or ""krick""; female, a weak, high-pitched ""quack"".",,
28,Ducks,Anatidae,Baikal Teal,Anas formosa,43cm,NA,,
30,Ducks,Anatidae,American Wigeon,Anas americana,48cm,"Male gives a piercing, three-note whistle; female call is a much lower ""quack"".",,
30,Ducks,Anatidae,Eurasian Wigeon,Anas penelope,51cm,"Male gives a whistled ""wheeeeu"", like American Wigeon but with two, not three, syllables, and even higher pitched.",,
30,Ducks,Anatidae,White-cheeked Pintail,Anas bahamensis,43cm,NA,,
30,Ducks,Anatidae,Northern Pintail,Anas acuta,male: 66cm; female: 51cm,"Male gives a whistled call, similar to Green-winged Teal; female gives a single or series of ""quacks"".",,
32,Ducks,Anatidae,Northern Shoveler,Anas clypeata,48cm,"Male gives a two-syllable call; females gives a ""quack"".",,
32,Ducks,Anatidae,Blue-winged Teal,Anas discors,39cm,"Male gives a whistled ""peeu""; female gives a nasal ""quack"".",,
32,Ducks,Anatidae,Cinnamon Teal,Anas cyanoptera,41cm,"Male gives a chattering call; female gives a nasal ""quack"".",,
32,Ducks,Anatidae,Garganey,Anas querquedula,39cm,NA,,
34,Ducks,Anatidae,Canvasback,Aythya valisineria,53cm,NA,,
34,Ducks,Anatidae,Common Pochard,Aythya ferina,46cm,NA,,
34,Ducks,Anatidae,Redhead,Aythya americana,48cm,NA,,
34,Ducks,Anatidae,Ring-necked Duck,Aythya collaris,43cm,NA,,
36,Ducks,Anatidae,Tufted Duck,Aythya fuligula,43cm,NA,,
36,Ducks,Anatidae,Greater Scaup,Aythya marila,46cm,NA,,
36,Ducks,Anatidae,Lesser Scaup,Aythya affinis,42cm,NA,,
38,Ducks,Anatidae,Common Eider,Somateria mollissima,61cm,NA,,
38,Ducks,Anatidae,King Eider,Somateria spectabilis,56cm,NA,,
38,Ducks,Anatidae,Spectacled Eider,Somateria fischeri,53cm,NA,,
40,Ducks,Anatidae,Steller's Eider,Polysticta stelleri,43cm,"Usually silent, in flight wings produce a loud whistling sound.",,
40,Ducks,Anatidae,Harlequin Duck,Histrionicus histrionicus,42cm,"Male's call is a high-pitched nasal squeaking, but mostly silent, except during breeding season.",,
40,Ducks,Anatidae,Long-tailed Duck,Clangula hyemalis,56cm,"Loud, yodeling, three-part calls, heard all year.",,
42,Ducks,Anatidae,Surf Scoter,Melanitta perspicillata,51cm,"Mostly silent, except during display.",,
