Page,EnglishCommon,LatinSpecies,Length,Voice,Comment
30,Little Grebe,Tachybaptus ruficollis,27,"Loud, whinnying trill; silent in winter",
30,Great Crested Grebe,Podiceps cristatus,48,"Mostly silent, but ""gruck gruck"" barks in winter",
31,Grey Heron,Ardea cinerea,92,"Short, harsh ""kraak""; deep croak in flight",
31,Little Egret,Egretta garzetta,60,Usually silent,
32,White Stork,Ciconia ciconia,102,"Silent, but clap their bill when greeting",
32,Gannet,Morus bassanus,92,"Silent at sea, but barking ""arr arr"" at nest",
33,Cormorant,Phalacrocorax carbo,92,"""Khro khro"" croaks at nest",
33,Shag,Phalacrocorax aristotelis,78,"Grunting ""kroack-kraik-kroack""; silent at sea",
34,Mute Swan,Mute Swan,140,"Mostly silent, but hissing calls when angry",
34,Whooper Swan,Cygnus olor,140,Trumpeting call like an old-fashioned car horn,
34,Bewick's Swan,Cygnus bewickii,120,"Loud ""kuru"" calls like an excited dog",
35,Greylag Goose,Anser anser,82,"Noisy cackling and honking; ""ahng-ong-ong"" call in flight.",
35,Canada Goose,Branta canadensis,95,"Loud trumpeting ""ah-honk"".",
36,Shelduck,Tadorna tadorna,61,"Males make a low whistling noise; females have a ""gagagaga""call.",
36,Wigeon,Anas penelope,46,"Males make a high ""whe-ooo""; females make a purring sound",
37,Teal,Anas crecca,35,"Males make a high ""crik chrik""; females make a short, sharp ""quack""",
37,Mallard,Anas platyrhynchos,58,"Females make a ""quack quack"" sound; males are much quieter",
38,Pintail,Anas acuta,66,"Mostly silent, but sometimes ""quack quack""",
38,Shoveler,Anas clypeata,51,"Males make a deep ""took took""; females have a quieter ""quack""",
38,Gadwall,Anas strepera,50,"Males croak in flight; females make a quacking ""reck reck reck""",
39,Tufted Duck,Aythya fuligula,43,"Mostly silent, but growling ""kurr kurr"" in flight",
39,Pochard,Aythya ferina,46,Mostly silent,
40,Pheasant,Phasianus colchicus,"M 87, F 58","Loud, explosive ""corrk-kok"" call; clucking in flight",
40,Red Grouse,Lagopus lagopus,36,"Loud call which sounds like ""go-bak, go-bak, bak-bak-bak""",
41,Grey Partridge,Perdix perdix,30,"Grating ""kerrick"" call when excited, especially at dusk",
41,Red-legged Partridge,Alectors rufa,34,"Mechanical ""chuck-chukka-chuck"" calls or gobbling and hissing",
