Page,Family,EnglishCommon,LatinSpecies,Length,Voice,
1,Tinamidae,Great Tinamou,Tinamus major,15-18in,"A melancholy, plaintive call; 3 sets of paired tremolos (Slud). In Panama, 2 long-drawn tremulous whistles, mainly at dawn and dusk (Eisenmann).",
1,Tinamidae,Little Tinamou,Crypturellus soui,8.5-9.5in,"A clear, tremulous whistle of varying number of notes, rising with a slight change of pitch, then several downward notes ending on a minor key (Chalif). Like dragging the hammer up the upper keyes of a xylophone about 7 tones, then starting at original pitch and running down about 5 tones (Friedman and Smith).",
1,Tinamidae,Slaty-breasted (Boucard's) Tinamou,Crypturellus boucardi,10-11in,"Call of male a ventriloqual hollow ""ah-oowah"", the ""oo"" slurring down, then returning to pitch (Lancaster).",
2,Tinamidae,Thicket (Rufescent) Tinamou,Crypturellus cinnamomeus,11inch,"A plaintive minor whistle, ""hoo-oo"", with a slight upward inflection (RTP).",
15,Ardeidae,Chestnut-bellied (Agami) Heron,Agamia agami,28-30in,"A piglike bass rattling ""krurr"" (Slud).",
15,Ardeidae,Rufescent (Lineated) Tiger-Heron,Tigrisoma lineatum,28-30in,"Suggest a night-heron: deep ""quok quok quok (Wetmore).",
16,Ardeidae,Bare-throated Tiger-Heron (Tiger-Bittern),Tigrisoma mexicanum,28-32in,"A harsh croaking ""wok wok wok"". Also a curious far-carrying snoring sound (Wetmore).",
17,Cochleariidae,Boat-billed Herons,Cochlearius cochlearius,20in,Quawking suggestive of a night-heron. Bill-rattling.,
27,Accipitridae,Gray-eaded (Cayenne) Kite,Leptodon cayanensis,18-20in,"A catlike ""myow""; a ringing cry suggestive of hawk-eagle (Slud). A far-carrying ""kek-kek-kek-kek"" (Wetmore).",
27,Accipitridae,Hook-Billed Kite,Chonorohierax uncinatus,15-17in,A musical oriole-like whistle; a shrill scream.,
28,Accipitridae,Double-Toothed Kite,Harpagus bidentatus,12-15in,"A shrill ""chiew-ip"" (Laughlin); a thin ""tsip-tsip-tsip-tsip-wheeeeeeooo""; also a thin, long-drawn ""wheeeeoooo (Eisenmann).",
29,Accipitridae,Crane Hawk,Geranospiza caerulescens (nigra),17-21in,"A nasal whining whistle suggesting Roadside Hawk. A nasal ""kahh"" or ""whaow"".",
31,Accipitridae,Bicolored Hawk,Accipiter bicolor,14-18in,"Male has a soft clear whistle; female (near nest?) a loud ""cac cac cac"" (Amadon).",
31,Accipitridae,Common (Lesser) Black Hawk,Buteogallus anthracinus,18-22in,"A nasal squealing whistle; also a harsh ""haaaah""; a high 3-syllabled whistle (RTP).",
31,Accipitridae,Great Black Hawk,Buteogallus (Hypomorphnus) urubitinga,20-24in,"A longish whistled ""wheeeeeeeer""; in aerial display ""keek-keek-keek"" (Eisenmann).",
32,Accipitridae,Solitary Eagle,Harpyhaliaetus solitarius,26-28in,"Very unlike that of Great Black Hawk. An arresting ""yeep-yeep-yeep-yeep""; also ""pipipipipip"" (Slud).",
32,Accipitridae,Black-collared Hawk,Busarellus nigricollis,20-22in,"An almost jaylike ""ya ya ya ya ya""; a nasal gutteral ""whaaaaa"" or ""whag"" (Chalif).",
32,Accipitridae,Bay-winged (Harris') Hawk,Parabuteo unicinctus,19-22in,"A harsh ""karrr"" (RTP).",
33,Accipitridae,Gray Hawk,Buteo nitidus,NA,"A loud plaintive ""cree-eer"" (RTP).",
33,Accipitridae,Roadside Hawk,Buteo magnirostris,14-16in,"A querulous ""heyaaa""; a hoarse whistling ""seeuu"" (Chalif). A buzzy or hissing squeal, ""kzweeeooo"" (Eisenmann).",
34,Accipitridae,White-tailed Hawk,Buteo albicaudatus,23-24in,"A repeated ""ke-ke-ke-ke-ke-ke""; also ""cut-a, cut-a"", etc.",
34,Accipitridae,Zone-tailed Hawk,Buteo albonotatus,18.5-21.5in,"A squealing whistle, suggesting Red-tail's (RTP).",
35,Accipitridae,Harpy Eagle,Harpia harpyja,34-36in,"A wailing ""wheeeeooooo"".",
36,Accipitridae,Black Hawk-Eagle,Spizaetus tyrannus,25-28in,"A ringing call, ""whut, whut, whut-eeeeeeeer, whut-eeeer"" (Willis). Calls constantly when soaring; a liquid, loud, melancholy phrase, ""oolee'oo"" or ""tleewee'oo"" or ""kweeoo""; sometimes ""kee keek leeweeoo"" (Eisenma). ""Ka reee oh"" (Alden).",
36,Accipitridae,Ornate Hawk-Eagle,Spizaetus ornatus,23-25in,"Call, ""whee whee wee wee wheet"" (Alden).",
37,Caracara,Red-throated Caracara,Daptrius americanus,20-23in,"A loud harsh ""cacao"" or ""ca-ca-ca-ca-caw"", from which it derives its Spanish name, 'Comecacao' (Land).",
37,Caracara,Crested Caracara,Caracara plancus,NA,"Harsh grating calls, ""trak-trak-trak"". Also ""quick-quick-quick-querr"", last note delivered with toss of head (Amadon and Brown).",
37,Falconidae,Laughing Falcon,Herpetoheres cachinnans,18-22in,"Very much like a human laugh; a loud shrill ""ha ha ha"" repeated up to 14 times (Grossman). A rather fast ""hah, hah, hah-hah-hahahahah"", somewhat accelerating and falling slightly in pitch (Eisenmann).",
38,Falconidae,Barred Forest-Falcon,Micrastur ruficollis,13-15in,"One to several distinctly separated barking sounds, much like those of a small dog (Slud).",
38,Falconidae,Collared Forest-Falcon,Micrastur semitorquatus,19-24in,"A loud ""hah hah hah"", etc., suggesting Laughing Falcon.",
39,Falconidae,Bat Falcon,Falco rufigularis,9-11in,"A thin querulous ""krree krree krree kree"", etc., or ""peel peel"" (5-8 times), suggesting Kestrel (Chalif).",
40,Cracidae,Plain (Eastern) Chachalaca,Ortalis vetula,20-24in,"Alarm, a harsh chickenlike cackle. Characteristic call, a raucous 3-syllabled ""cha-ca-lac"", repeated in chorus from treetops, especiall in morning and evening. Dr. A. A. Allen described a chorus as ""keep'-it-up, keep'-it-up, keep'-it-up"" etc., answered by a lower ""cut-it-out, cut-it-out"".",
41,Cracidae,West Mexican Chachalaca,Ortalis poliocephala,25-27in,Similar to Plain Chachalaca's but 4-syllabled.,
42,Cracidae,White-bellied Chachalaca,Ortalis leucogastra,NA,"Call 4-syllabled, similar to West Mexican Chachalaca's but 'less burry, with closer intervals' (Vaurie).",
42,Cracidae,Crested Guan,Penelope purpurascens,34-36in,"Harsh throaty cackles; honking sounds. 'A loud metallic ""kwank"" or ""kwink"" repeated many times' (Chalif).",
42,Cracidae,Black Penelopina (Black Chachalaca),Penelopina nigra,21-25in,"A long whistle, steady in volume but rising in pitch over a 2-octave range (Land).",
42,Cracidae,Horned Guan,Oreophasis derbianus,32-36in,"A deep low 3- or 4-note ""oo-oo-oo"", repeated several times and having a soft mooing quality. Also mandible-clacking and croaking (Andrle).",
44,Cracidae,Great Curassow,Crax rubra,30-38in,"Male has a high, thin, whistled ""wheeeoo"" and ""wheep""; also ""whee, whee whee"". A squeaky ""weeyp"". Sometimes combined as ""wheeyp wheeeeeee"" (rising in pitch). During display, a low-pitched hooting ending in a boom - ""whoooo-hoohoo; boom"". Female a soft ""hmmm""; also a ""hoot-hoot"" (Eisenmann).",
45,Phasianidae,Banded Quail,Philortyx fasciatus,7-8.5in,A squeal when flushed.,
45,Phasianidae,Common Bobwhite,Colinus virgianus,8.5-10.5in,"A clearly whistled ""bob-white!"" or ""poor, bob-whoit!"". Covey call, ""ka-loi-kee?"" answered by ""whoil-kee"" (RTP).",
45,Phasianidae,Black-throated (Yucatan) Bobwhite,Colinus nigrogularis,7-8in,Practically indistinguishable from Common Bobwhite's.,
46,Phasianidae,Spot-bellied Bobwhite,Colinus leucopogon,7-8in,Similar to Common Bobwhite's.,
