Page,EnglishCommon,LatinSpecies,Length,Voice,Comment
16,Little Grebe,Tachybaptus ruficollis,25-29,"loud, high-pitched trill",
17,Great Crested Grebe,Podiceps cristatus,46-51,mostly silent,
18,Fulmar,Fulmarus glacialis,45-50,cackling,
18,Gannet,Sula bassana,87-100,cackling,
19,Cormorant,Phalacrocorax carbo,80-100,croaks and growls,
22,Grey Heron,Ardea cinerea,90-98,deep croak,
24,Mute Swan,Cygnus olor,125-155,loud hiss when angry,
26,Canada Goose,Branta canadensis,56-110,loud trumpeting,
28,Mallard,Anas platyrhynchos,50-65,"""quack quack""",onomatopoeia-only entry in a kids book
30,Tufted Duck,Aythya fuligula,40-47,mostly silent,
30,Pochard,Aythya ferina,42-49,mostly silent,
31,Goldeneye,Bucephala clangula,42-50,"mainly silent, but male sometimes makes a loud ""zeee-zee"" call and a low growling",
34,Red Kite,Milvus milvus,60-66,"high-pitched ""pee-ooo-eee""",
35,Buzzard,Buteo buteo,51-57,"high-pitched ""pee-uuu""",
35,Sparrowhawk,Accipiter nisus,28-38,"chattering ""kew-kew-kew"" when nesting",
36,Kestrel,Falco tinnunculus,32-35,"shrill ""ki-ki-ki-ki-ki""",
37,Peregrine Falcon,Falco peregrinus,36-48,"harsh, cackling ""kek-rek-rek"" when nesting",
38,Golden Eagle,Aquila chrysaetos,75-88,usually silent,
41,Osprey,Pandion haliaetus,55-58,usually silent,
42,Red Grouse,Lagopus lagopus scoticaLagopus lagopus scotica,37-42,"call sounds like *go back, go back!*",
42,Pheasant,Phasianus colchicus,53-89,"raucous ""ko-kok""",
43,Grey Partridge,Perdix perdix,29-31,"grating ""kerrick"" call",
43,Red-legged Partridge,Alectors rufa,32-34,"loud ""chuck-chukka-chuck""",
44,Moorhen,Gallinula chloropus,32-35,"loud ""kruuuk""",
45,Coot,Fulica atra,36-38,"loud ""kowk""",
46,Oystercatcher,Haematopus ostralegus,40-45,"loud, high-pitched ""peep peep peep""",
47,Avocet,Recurvirostra avosetta,40-45,"""klute klute"" call when alarmed",
48,Lapwing,Vanellus vanellus,28-31,"""peewit""",
49,Woodcock,Scolopax rusticola,33-35,"""croak""","is indicated to be onomatopoeia (in italics, like wilder versions), even though it's a common word"
50,Curlew,Numenius arquata,50-60,"""cur-lew""",
51,Redshank,Tringa totanus,27-29,"ringing ""teeu-tu-tu"" alarm call",
54,Black-headed Gull,Larus ridibundus,34-37,"harsh ""keeyar"" call",
55,Herring Gull,Larus argentatus,55-67,various loud mewing and wailing cries,
56,Common Tern,Sterna hirundo,31-35,"high-pitched ""kee-yaaarr""",
