Page,EnglishCommon,LatinSpecies,Length,Voice,Comment
21,Mute Swan,Cygnus olor,145-160,"Various calls, including a threatening hiss. In flight the wings make a unique rhythmic 'chuffing' sound.",
22,Bewick's Swan,Cygnus columbianus,115-127,"With practice the higher-pitched, more yelping voice of Bewick's can be distinguished.","means comparison to Whooper Swan here, with which it is grouped under"
23,White-fronted Goose,Anser albifrons,65-78,Flocks give a slightly muted cackling chorus.,
24,Bean Goose,Anser fabalis,66-84,"More honking than Pink-footed Goose, and lacking its squeaky ""wink-wink"" notes.",be careful here: LACKING
25,Pink-footed Goose,Anser brachyrhynchus,60-75,"Flocks give a cackling chorus, generally higher-pitched and more musical than other geese, in which it is possible to pick out clear, high ""wink-wink"" notes.",
26,Greylag Goose,Anser anser,75-90,A harsh cackling similar to a farmyard goose (this is the ancestor of most domestic breeds).,
27,Canada Goose,Branta canadensis,90-100,"Flocks give a loud honking with clear, well-spaced notes.",
28,Barnacle Goose,Branta leucopsis,58-70,A gruff honking.,
29,Brent Goose,Branta bernicla,55-61,"Flocks give a chorus of low, throaty ""krrrs"".",
30,Egyptian Goose,Alopochen aegyptica,63-73,A variety of harsh honking and quacking notes.,
31,Shelduck,Tadorna tadorna,58-67,"Thin whistles, often given by male in fligh whilst chasing female, and a hoarse ""k-k-k-k-krrr, krrr, krrr"".",
32,Mandarin,Aix galericulata,45,Rather silent.,
33,Shoveller,Anas clypeata,48,"A clipping ""chuck-chuck-chuk-chuk"".",
34,Gadwall,Anas strepera,51,"Pure, thin whistled ""pee"" and more quacking ""ak, ak"".",
35,Mallard,Anas platyrhynchos,58,"Male gives a soft, nasal ""kreep"", female gives the classic ""quak"", often in a 'laughing' series: ""quak, quak, quak-quak-quak-quak"".",
36,Pintail,Anas acuta,51-66,"Call a mellow ""proop"".",
37,Wigeon,Anas penelope,48,"Drake gives a loud and shrill, whistled ""pee-oow"" or ""p'pee-oow"".",
38,Garganey,Anas querquedula,39,"Drakes have a distinctive display call, a dry, wooden rattle, ""k-r-r-r-r-r-r-eet, k-r-r-r-r-r-r-eet...."".",
39,Teal,Anas crecca,36,"Call a nervous, slightly tremulous, whistled ""cree"".",
40,Pochard,Aythya ferina,46,Generally silent.,
41,Tufted Duck,Aythya fuligula,44,"In display male Tufted Duck gives a series of rapid bubbling notes, female has growling call.","grouped together with Scaup, only transcribed Tufted Duck because that's what's specified"
42,Common Scoter,Melanitta nigra,49,Generally silent.,"grouped together with Velvet Scoter, only transcribed Common"
43,Eider,Somateria mollissima,61,"Courting male has wonderful, rolling and rather pigeon-like ""aa-ooow, aa-ooow..."" given as it throws its head back.",
44,Long-tailed Duck,Clangula hyemalis,40-47,"Call ""ah-oowa-lip"", vaguely goose-like, given in chorus by displaying males in late winter.",
45,Goldeneye,Bucephala clangula,46,"Displaying male throws head back and gives a rapid quack. In flight the wings produce a loud musical whistle, especially in males.",
46,Smew,Mergus albellus,41,Usually silent.,
