Page,EnglishCommon,LatinSpecies,Length,Voice,Comment
18,Great Crested Grebe,Podiceps cristatus,to 50cm,barking and rattling.,
18,Hoary-headed Grebe,Poliocephalus poliocephalus,25-30,normally silent; soft churrings near nest.,
18,Australasian Grebe,Tachybaptus novaehollandiae,25-27,shrill and chittering.,
22,Wandering Albatross,Diomedea exulans,80-135,"croaking, guttural cackles; bill clappering.",
22,Royal Albatross,Diomedea epomophora,76-130,"coarse croakings, guttural sound; bill clappering.",
42,Australian Pelican,Pelecanus conspicillatus,160-180,grunting.,
44,Darter,Anhinga melanogaster,90,clicking sounds.,
44,Black-faced Shag,Leucocarbo fuscescens,65,"grunts, hissing.",
44,Pied Cormorant,Phalacrocorax varius,70-75,grunts.,
44,Little Pied Cormorant,Phalacrocorax melanoleucos,50-55,short croak.,
44,Great (Black) Cormorant,Phalacrocorax carbo,80-85,"croaks, grunts, hisses.",
44,Little Black Cormorant,Phalacrocorax sulcirostris,60-65,male makes ticking sounds.,
46,Red-tailed Tropicbird,Phaethon rubricauda,86-90,"clamorous rattles, screams.",
46,White-tailed Tropicbird,Phaethon lepturus,72.5,"harsh rattles, screams.",
48,Great-billed Heron,Ardea sumatrana,100-110,"penetrating (and to the inexperienced), frightening calls including loud guttural roars and groans given by day and night.",
48,Pacific (White-necked) Heron,Ardea pacifica,76-107,harsh croaks.,
48,White-faced Heron,Ardea novaehollandiae,60-70,harsh croaks.,
48,Pied Heron,Ardea picata,45-50,harsh croaks.,
50,Cattle Egret,Ardea ibis,46-54,harsh croaks.,
50,Great Egret,Ardea alba,90-103,harsh croaks.,
50,Little Egret,Ardea garzetta,55-65,harsh croaks.,
50,Intermediate Egret,Ardea intermedia,56-70,harsh croaks.,
50,Eastern Reef Egret,Ardea sacra,58-75,harsh croaks.,
52,Striated Heron,Ardeola striatus,to 49cm,variety of sharp calls.,
52,Rufous Night Heron,Nycticorax caledonicus,to 59cm,deep croaks.,
52,Little Bittern,Ixobrychus minutus,to 30cm,deep repetitive croaks.,
52,Black Bittern,Ixobrychus flavicollis,to 66cm,deep repetitive notes.,
52,Australasian Bittern,Botaurus poiciloptilus,to 72cm,male call low-pitched boom.,
54,Black-necked Stork,Ephippiorhynchus asiaticus,112-115,not adequately described; clappers with bill.,
54,Glossy Ibis,Plegadis falcinellus,50-53,soft calls.,
54,Sacred Ibis,Threskiorns aethiopica,65-70,harsh croaks.,
54,Straw-necked Ibris,Threskiornis spinicollis,65-70,drawn-out croaks.,
