Page,EnglishCommon,LatinSpecies,Length,Voice,Comment
12,Common Ostrich,Struthio camelus,"M 240cm, F 180cm",NA,
12,Secretarybird,Sagittarius serpentarius,138cm,NA,
12,Southern Ground-Hornbill,Bucorvus leadbeateri,110cm,"one of the characteristic sounds at dawn is the deep rhythmic sound of these birds booming ""hudu hudu hududu"", audible from 3km away.",
14,Little Grebe,Tachybaptus ruficollis,20cm,"Call is a distinctive, high-pitched trill: ""tr-r-r-r-r-r-r-r-r-r-r-r-r"". ",
16,Grey Heron,Ardea cinerea,94cm,Often gives a harsh croaking call when flushed.,
14,Green-backed Heron (Striated Heron),Butorides striata,41cm,"(...) uttering its characteristic ""chowk"" flight call. ",
14,Black-crowned Night Heron,Nycticorax nycticorax,56cm,"(...) occasionally giving a harsh ""haark"" call",
22,Dwarf Bittern,Ixobrychus sturmii,30cm,(...) males utter a dog-like bark from flooded trees and bushes to attract a female.,
22,Hamerkop,Scopus umbretta,56cm,Gives a loud yipping call in flight or when displaying.,
22,Hadeda Ibis,Bostrychia hagedash,76cm,"Well known for its raucous call ""ha, ha, ha-aa"" (hence its name); when several birds call simultaneously, close by the noise can be deafening.",
28,Egyptian Goose,Alopochen aegyptiaca,68cm,(...) giving loud hissing and honking calls.,
28,Spur-winged Goose,Plectropterus gambensis,98cm,"Largely silent except in flight, when they utter a soft, wheezy ""chi-vi, chi-vi, chi-vi ..."", surprising for a bird of this size.",
30,White-faced Whistling Duck,Dendrocygna viduata,47cm,"It has a distinctive, high-pitched whistling call that is especially used in flight and often heard after dark as flocks fly overhead.",
54,Kori Bustard,Ardeotis kori,"M 135cm, F 112cm","He may utter a series of deep-throated booms ""ump-ump, ump-ump ..."" while in this pumped up posture.",
54,Black-bellied Bustard,Lissotis melanogaster,62cm,"(...) uttering a slurred ""quark"".",
54,Red-crested Korhaan,Lophotis ruficrista,50cm,"detected by the male's call, which is a series of penetrating whistled notes – ""kyip-kyip-kyip- ..."" – that rise to a near-deafening crescendo. At close range one also hears the 50 or more metallic-sounding tongue clicks that precede each whistle. ",
56,Helmeted Guineafowl,Numida meleagris,58cm,"The female's monotonous *buck-wheat* call, which may continue into the night, is a common sound during the breeding season.",
56,Crested Guineafowl,Guttera pucherani,50cm,(...) the metallic clucking notes uttered at intervals (...),
56,Natal Spurfowl,Pternistis natalensis,34cm,"At other times, though, its presence is only betrayed by its screeching call (e.g. ""kakkak-kekekekek-kekeek ..""). ",
